year,TPES_Mtoe,TFC_Mtoe,iso3
1960,31.48,23.31,AUS
1961,32.66,24.12,AUS
1962,34.08,24.32,AUS
1963,35.96,26.38,AUS
1964,37.4,27.4,AUS
1965,39.44,28.92,AUS
1966,41.32,29.34,AUS
1967,43.57,30.95,AUS
1968,45.2,32.79,AUS
1969,46.51,34.34,AUS
1970,50.82,34.92,AUS
1971,51.61,36.08,AUS
1972,53.17,36.65,AUS
1973,57.06,39.58,AUS
1974,58.93,40.15,AUS
1975,60.38,41.1,AUS
1976,61.83,41.64,AUS
1977,66.29,43.85,AUS
1978,66.47,44.43,AUS
1979,67.98,45.65,AUS
1980,69.6,46.79,AUS
1981,70.08,46.6,AUS
1982,73.12,47.11,AUS
1983,70.01,45.43,AUS
1984,72.31,47.31,AUS
1985,72.53,49.31,AUS
1986,74.06,49.43,AUS
1987,77.62,50.55,AUS
1988,77.75,52.76,AUS
1989,84.09,54.85,AUS
1990,86.38,56.65,AUS
1991,85.17,56.21,AUS
1992,86.76,56.74,AUS
1993,90.94,58.83,AUS
1994,90.88,60.16,AUS
1995,92.7,62.27,AUS
1996,98.76,64.2,AUS
1997,101.28,65.67,AUS
1998,103.91,66.64,AUS
1999,106.18,67.68,AUS
2000,103.1,69.58,AUS
2001,110.3,70.23,AUS
2002,111.86,69.75,AUS
2003,110.79,70.87,AUS
2004,112.67,72.55,AUS
2005,113.48,72.23,AUS
2006,118.17,72.86,AUS
2007,122.22,74.99,AUS
2008,126.74,76.13,AUS
2009,127.13,75.59,AUS
2010,127.63,76.56,AUS
2011,128.35,78.31,AUS
2012,126.77,78.79,AUS
2013,126.49,80.88,AUS
2014,125.25,80.89,AUS
2015,125.3,81.3,AUS
2016,132.32,NA,AUS
1960,10.9,8.69,AUT
1961,11.01,8.59,AUT
1962,11.95,9.49,AUT
1963,13.09,10.49,AUT
1964,13.4,10.74,AUT
1965,13.46,11,AUT
1966,13.93,11.4,AUT
1967,14.17,11.75,AUT
1968,15.17,12.58,AUT
1969,16.23,13.36,AUT
1970,18.06,14.24,AUT
1971,18.82,14.57,AUT
1972,19.82,15.34,AUT
1973,21.48,16.61,AUT
1974,20.75,16.15,AUT
1975,20.12,15.97,AUT
1976,21.69,16.61,AUT
1977,21.17,16.79,AUT
1978,21.88,17.76,AUT
1979,23.7,18.87,AUT
1980,23.15,18.64,AUT
1981,21.93,17.8,AUT
1982,21.44,17.68,AUT
1983,21.5,17.77,AUT
1984,22.33,18.34,AUT
1985,23.09,18.97,AUT
1986,23.18,19.01,AUT
1987,24.05,19.49,AUT
1988,24.31,20.21,AUT
1989,23.92,19.96,AUT
1990,24.88,19.8,AUT
1991,26.48,21.29,AUT
1992,25.45,20.74,AUT
1993,25.74,21,AUT
1994,25.67,20.43,AUT
1995,26.81,21.31,AUT
1996,28.5,23.16,AUT
1997,28.29,22.89,AUT
1998,28.77,23.3,AUT
1999,28.71,23.51,AUT
2000,28.61,23.59,AUT
2001,30.23,25.03,AUT
2002,30.48,25.09,AUT
2003,32.13,26.49,AUT
2004,32.65,26.93,AUT
2005,33.54,27.27,AUT
2006,33.63,27.44,AUT
2007,33.22,26.96,AUT
2008,33.41,27.12,AUT
2009,31.64,26.31,AUT
2010,33.82,27.7,AUT
2011,32.86,26.59,AUT
2012,32.72,26.72,AUT
2013,33.25,27.44,AUT
2014,32.01,26.46,AUT
2015,32.79,27,AUT
2016,33.3,NA,AUT
1960,23.06,16.09,BEL
1961,23.61,16.67,BEL
1962,25.91,18.64,BEL
1963,28.27,20.59,BEL
1964,28.34,19.84,BEL
1965,29.49,21.33,BEL
1966,29.07,20.88,BEL
1967,30.5,21.92,BEL
1968,34.53,24.92,BEL
1969,37.4,27.05,BEL
1970,39.93,29.54,BEL
1971,39.66,29.24,BEL
