HP,Provider,HK,Type of asset,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUS,Australia,2000,2000,PC,Percentage,0,Units,,,0.466,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUS,Australia,2001,2001,PC,Percentage,0,Units,,,0.474,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUS,Australia,2002,2002,PC,Percentage,0,Units,,,0.496,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUS,Australia,2003,2003,PC,Percentage,0,Units,,,0.419,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,0.592,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUS,Australia,2000,2000,AUD,Australian Dollar,6,Millions,,,3290.564,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUS,Australia,2001,2001,AUD,Australian Dollar,6,Millions,,,3576.687,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUS,Australia,2002,2002,AUD,Australian Dollar,6,Millions,,,3976.479,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUS,Australia,2003,2003,AUD,Australian Dollar,6,Millions,,,3608.879,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUS,Australia,2014,2014,AUD,Australian Dollar,6,Millions,,,9566.661,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUS,Australia,2000,2000,AUD,Australian Dollar,6,Millions,2010,2010,4850.696,,
