LOCATION,Year,hexp_current_USD,Total_HCF,Domestic_HCF,OECD_HCF,Non_OECD_HCF,Investment_HCF,Public_HCF,Private_HCF,Investment,Hospitals,Ambulatory,Ancillary,Administration,Preventive,Long-term,Other_roe,Other_row,Medical retailers,National_CF,population,hexp_constant_2010_USD,gdp_const,gdp_const_ppp,CO2_power_industry,CO2_transport,CO2_other_ind_combustion,CO2_non_combustion,CO2_buildings,Total_CO2_wo_non_combustion,Total_CO2_all,TFC_Mtoe
AUS,2e3,33148749250.86891,9661.15612366128,6717.586606817081,1599.0968642852367,1344.4726525589583,1242.9776569947671,4734.987306106954,3683.1911605595583,1242.9776569947671,1122.6485295046386,1483.759265949585,326.39445094264937,418.16016830313833,83.98355635203552,NA,NA,NA,4983.232495614466,344975.09442093974,19153e3,48865.33130179119,848732984009.725,677589654104.7445,182417,75014.02,65911,18460.93,14769.6,338111.62,356572.55,69.58
AUS,2001,31916170310.696274,10222.84632667074,8129.351933629772,1088.332670623282,1005.161722417681,1321.4405593201654,4977.083629303227,3924.3221380473474,1321.4405593201654,1023.0907853123177,1664.7357203043932,367.1764004335271,418.45138557662716,91.10678039402472,NA,NA,0.010018617930835217,5336.834676711755,330346.10090291867,19413e3,45739.46590783217,865139889945.9463,690688178526.0905,196451,74416.9,64641.8,18667.27,15056.4,350566.10000000003,369233.37000000005,70.23
AUS,2002,36544540589.63869,11516.01948936903,8545.70676650214,1392.4735443739778,1577.839178492913,1485.88242256021,5869.235032295001,4160.90203451382,1485.88242256021,1330.0073425416815,2144.0901916898574,479.61289913073387,520.9716652111325,122.04882879930285,NA,NA,0.022986640049409,5433.383152796063,353104.78209899785,19651400,50790.20172447247,899771632525.6924,718336580223.3972,215490,76132.28,53449.7,18778.43,16184.5,361256.48000000004,380034.91000000003,69.75
AUS,2003,46791734150.27275,12617.505763083322,9741.830111410374,1404.7574676121299,1470.9181840608178,1372.1219275582432,6521.890261548135,4723.493573976944,1372.1219275582432,1531.45512354845,2244.633641051747,489.85561630770417,588.8379782100151,124.5805410799671,NA,NA,0.010943598900879587,6266.009991728295,370098.548549358,19895400,62965.24128871057,926636518197.1769,739784278065.5446,196307,76408.14,71324.8,27989.12,17447.6,361487.54,389476.66,70.87
AUS,2004,58416076034.60358,13560.509302697968,10449.745436802968,1511.2141204465663,1599.549745448425,1656.2292922721215,6907.392788446515,4996.887221979332,1656.2292922721215,1604.29496712604,2454.7199538105388,477.8793843786847,650.8553427085951,130.93200002702747,NA,NA,0.535478278818434,6585.062884096142,391678.5178564441,20127400,75796.2254502165,963712223078.4235,769383827652.374,205911,79181.91,73554.4,29307.01,17396.5,376043.81000000006,405350.82000000007,72.55
AUS,2005,64393302845.01655,14219.692177620804,11046.532848570883,1426.2865734125364,1746.8727556373872,1668.0127019760205,7118.224724062941,5433.454751581841,1668.0127019760205,1624.8816944268715,2453.3981079732202,480.8205208595202,625.047558958217,123.70799984769575,NA,NA,0.5023560820278257,7243.32123749723,403149.04029153846,20394800,79524.24271165545,994457691605.8833,793929605626.4878,209457,79333.18,73564.9,30190.96,17846.5,380201.57999999996,410392.54,72.23
AUS,2006,69357257786.22763,14086.730907551764,10712.814345298446,1521.4057764785543,1852.510785774769,1622.0565940241956,6967.678198746578,5496.996114780991,1622.0565940241956,1645.3709753448697,2400.2652004803585,478.33183592436103,535.8978638201646,131.0610271893003,NA,NA,0.011370160471380496,7273.736040608043,399163.7162207818,20697900,81594.7516229398,1022642934821.4918,816431416633.1676,213170,81241.8,72761.4,21779.11,17596.8,384769.99999999994,406549.1099999999,72.86
AUS,2007,84502835584.76006,14412.827163934322,10136.627850993507,1956.54362114057,2319.6556918002275,1614.8591909777865,7414.861244885457,5383.106728071079,1614.8591909777865,1986.6649700192102,2643.424608774174,522.2512665266989,543.6780718474103,171.3059866758042,NA,NA,7.510717807676098e-4,6930.642318041457,452855.92357892887,20827600,95098.66500035486,1061271523267.5641,847270717540.3522,219619,83578,73952.4,31805.44,17768.2,394917.60000000003,426723.04000000004,74.99
AUS,2008,94225960183.96027,17874.44063890563,12330.653447576551,2503.8204281286353,3039.966763200453,1913.2755152796267,9508.231476988283,6452.933646637721,1913.2755152796267,3097.038835304838,3213.3415266988713,657.3838033634885,883.2181453065301,162.7551624599984,NA,5.054921516516743,6.676957094731179e-4,7942.372061280051,413836.96627799165,21249200,101063.33616432548,1100090360276.0288,878261904211.3921,219519,85279.5,74536.4,32358.14,17925.6,397260.5,429618.64,76.13
AUS,2009,93700597918.93935,18830.560970475915,13867.887745184882,2627.4965636008906,2335.176661690144,2069.152319231412,9950.153118246426,6811.255532998079,2069.152319231412,2957.8709206332032,3485.1979312149897,712.918509240366,898.3745813172962,148.8777068655442,NA,5.038653154045196,3.2666572027141544e-4,8553.130022153338,438162.46031756164,21691700,99495.37475040469,1121242097879.4348,895148485546.6614,230722,84190.5,71780.5,29955.58,18292.8,404985.8,434941.38,75.59
AUS,2010,116410313284.18193,17662.631458730986,13288.165955911676,1966.335648509926,2408.1298543093812,1991.3143437596073,9022.231087599777,6649.086027371602,1991.3143437596073,2465.990240331264,3230.235374400615,649.4272610354697,730.0765580318285,177.51647425752506,NA,68.1692465008735,NA,8349.901960413803,427770.7236760537,22031750,116410.31347014123,1144260547872.809,913525364804.2009,216705,85130.1,75610.5,22918.84,18650.7,396096.3,419015.14,76.56
AUS,2011,140298168357.96933,18320.345764482154,13411.311388447388,2135.1854537253607,2773.848922309414,2071.893876528979,9414.891859114698,6833.5600288384785,2071.893876528979,2573.0378444002927,3412.7984736941034,674.7004251912547,798.940081969631,196.87685727469142,NA,24.973240750059478,NA,8567.124964673143,445406.04548785544,22340024,137472.90544466962,1172307576320.8677,935916831452.5244,211567,86903.6,78411.1,30997.85,19115.5,395997.19999999995,426995.04999999993,78.31
AUS,2012,146476115636.0806,18453.192677666382,13039.817114003694,2309.3690193794173,3104.0065442832765,2027.9472912895112,9270.498162734306,7154.747223642564,2027.9472912895112,2752.481475155699,3614.333279044951,692.7079901649088,798.3373408570521,135.34739635838525,NA,41.3595651042503,NA,8390.678339691623,455518.92258430383,22742475,143765.8150086374,1217933084117.1443,972342153230.3783,211567,91416.4,73898.2,21776.58,19115.5,395997.10000000003,417773.68000000005,78.79
AUS,2013,143860545404.51294,18045.357164466095,12805.109766189255,2262.7939039315315,2977.4534943453164,2011.9663066809865,9036.159837198042,6997.231020587066,2011.9663066809865,2702.26337099183,3553.3356920708284,698.6350710776807,823.3734669487897,120.94209703934264,NA,40.58516623047244,NA,8094.255993426164,451380.779497709,23145901,139195.96646450175,1250080212993.1692,998006952815.1165,209391.8,90476.49,73138.41,22026.85,18918.96,391925.66,413952.50999999995,80.88
AUS,2014,141272335624.65973,19471.76889966847,14117.847540068698,2039.627135760749,3314.2942238390115,2096.533442923593,9338.110766666687,8037.124690078191,2096.533442923593,2570.83543292043,3313.798732383848,652.0028937939131,813.3677209332693,111.1962466285597,NA,51.835409179412764,NA,9862.199020905444,463931.94486771035,23504138,137657.56824961095,1282061484148.1345,1023539339169.8274,204287,88270.79,71355.38,22725.64,18457.74,382370.91,405096.55,80.89
AUT,2004,30836009060.52815,7885.414646370548,3641.53357804571,2242.752664680573,2001.1284036442635,671.2276177922688,5346.615252662297,1867.5717759159822,671.2276177922688,2510.811291867681,1488.2528154989839,220.5311769587947,169.11032527439488,64.82652147116812,552.4120827417305,465.4575595942533,28.69351234794902,1714.0917428233238,109784.86777919794,8171966,34538.13301588084,359211698966.03906,332213386858.7357,17757.4,23927.93,18901.9,5090.194,13570.2,74157.43000000001,79247.624,26.93
AUT,2005,32126041909.54525,7933.728739926782,3593.971201463233,2208.260625164456,2131.496913299091,694.4461116164771,5386.954003453134,1852.32862485717,694.4461116164771,2577.005458772868,1477.0480208052318,217.29728882926275,160.54463853066127,67.75014682124272,548.8336337729228,469.10162859632135,23.691115748207732,1698.0106964335857,111017.90129045682,8227829,35082.161069065674,367272649488.2034,339668477219.0363,18084.3,24650.25,19386,5200.477,13003.8,75124.35,80324.827,27.27
AUT,2006,33667728559.697746,7625.620527113018,3238.2482138356036,2269.7129539591033,2117.6593593183106,633.306223167982,5236.496110708349,1755.8181932366867,633.306223167982,2479.1674097310693,1408.5406298941984,209.79423470905334,139.66467013715447,66.4662168986001,537.571053459445,446.5692751425094,34.46176627862301,1670.0790476943828,108909.27504831937,8268641,36077.12853228745,379958397501.9574,351400765795.9852,17186.6,23370.21,19562.8,5019.194,12474.7,72594.31,77613.504,27.44
AUT,2007,39060759321.58048,7645.913707966455,3038.691783366808,2366.740901046615,2240.481023553032,678.356003526023,5219.872168554306,1747.6855358861267,678.356003526023,2441.8425926140912,1420.0236033629951,209.60843519585197,139.65339072058052,67.32538700473216,522.7905670469145,432.35370597600354,37.202777334257945,1696.7572451850058,108417.16139731726,8295487,40934.27406600551,394121024471.1447,364498931267.1923,16267.3,23559.68,19734.3,5214.595,10698.2,70259.48,75474.075,26.96
