iso3,fd_start_id,T_start_id,T_end_id
USA,1081,13210,14067
CHN,235,2502,2624
IND,469,4662,4893
GBR,1069,12162,13183
JPN,517,5841,6242
ESP,943,10713,10907
AUS,55,530,1219
CAN,199,2199,2247
DEU,397,4057,4128
KOR,829,9409,9486
TUR,1033,11815,11936
AUT,61,1220,1341
FRA,367,3742,3863
ITA,505,5693,5814
MEX,661,7649,7808
BEL,103,1498,1619
CHE,979,11134,11219
CZE,277,2875,2996
DNK,301,3075,3205
EST,343,3446,3567
FIN,361,3620,3741
GRC,409,4155,4276
HUN,457,4514,4635
IRL,493,5245,5366
ISL,463,4636,4661
ISR,499,5367,5692
LUX,601,7123,7148
LVA,559,6749,6870
NLD,715,8017,8138
NOR,757,8637,8758
NZL,733,8222,8558
POL,811,9139,9260
PRT,817,9261,9382
SVK,913,10226,10347
SVN,919,10348,10469
SWE,973,11012,11133
