"Row","IndicatorCode","IndicatorName","LineItems",
"1","I-ENERGY","Energy Usage (TJ)","Natural Gas",
"2","I-ENERGY","Energy Usage (TJ)","Coal",
"3","I-ENERGY","Energy Usage (TJ)","Petroleum",
"4","I-ENERGY","Energy Usage (TJ)","Nuclear Electricity",
"5","I-ENERGY","Energy Usage (TJ)","Hydroelectric Electricity",
"6","I-ENERGY","Energy Usage (TJ)","Geothermal Electricity",
"7","I-ENERGY","Energy Usage (TJ)","Wind Electricity",
"8","I-ENERGY","Energy Usage (TJ)","Solar, Tide and Wave Electricity",
"9","I-ENERGY","Energy Usage (TJ)","Biomass and Waste Electricity",
"10","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Public electricity and heat production",
"11","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other Energy Industries",
"12","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Manufacturing Industries and Construction",
"13","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Domestic aviation",
"14","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Road transportation",
"15","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Rail transportation",
"16","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Inland navigation",
"17","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other transportation",
"18","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Residential and other sectors",
"19","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Fugitive emissions from solid fuels",
"20","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Fugitive emissions from oil and gas",
"21","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Memo: International aviation",
"22","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Memo: International navigation",
"23","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Production of minerals",
"24","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Cement production",
"25","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Lime production",
"26","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Production of chemicals",
"27","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Production of metals",
"28","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Production of pulp/paper/food/drink",
"29","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Production of halocarbons and SF6",
"30","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Refrigeration and Air Conditioning",
"31","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Foam Blowing",
"32","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Fire Extinguishers",
"33","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Aerosols",
"34","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","F-gas as Solvent",
"35","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Semiconductor/Electronics Manufacture",
"36","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Electrical Equipment",
"37","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other F-gas use",
"38","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"39","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Solvent and other product use: paint",
"40","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Solvent and other product use: degrease",
"41","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Solvent and other product use: chemicals",
"42","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Solvent and other product use: other",
"43","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Enteric fermentation",
"44","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Manure management",
"45","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Rice cultivation",
"46","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Direct soil emissions",
"47","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Manure in pasture/range/paddock",
"48","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Indirect N2O from agriculture",
"49","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other direct soil emissions",
"50","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Savanna burning",
"51","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Agricultural waste burning",
"52","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Forest fires",
"53","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Grassland fires",
"54","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Decay of wetlands/peatlands",
"55","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other vegetation fires",
"56","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Forest Fires-Post burn decay",
"57","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Solid waste disposal on land",
"58","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Wastewater handling",
"59","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Waste incineration",
"60","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other waste handling",
"61","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Fossil fuel fires",
"62","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Indirect N2O from non-agricultural NOx",
"63","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Indirect N2O from non-agricultural NH3",
"64","I-GHG-CO2","I-GHG-CO2 emissions (Gg)","Other sources",
"65","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Public electricity and heat production",
"66","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other Energy Industries",
"67","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Manufacturing Industries and Construction",
"68","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Domestic aviation",
"69","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Road transportation",
"70","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Rail transportation",
"71","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Inland navigation",
"72","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other transportation",
"73","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Residential and other sectors",
"74","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Fugitive emissions from solid fuels",
"75","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Fugitive emissions from oil and gas",
"76","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Memo: International aviation",
"77","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Memo: International navigation",
"78","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Production of minerals",
"79","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Cement production",
"80","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Lime production",
"81","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Production of chemicals",
"82","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Production of metals",
"83","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Production of pulp/paper/food/drink",
"84","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Production of halocarbons and SF6",
"85","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Refrigeration and Air Conditioning",
"86","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Foam Blowing",
"87","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Fire Extinguishers",
"88","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Aerosols",
"89","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","F-gas as Solvent",
"90","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Semiconductor/Electronics Manufacture",
"91","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Electrical Equipment",
"92","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other F-gas use",
"93","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"94","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Solvent and other product use: paint",
"95","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Solvent and other product use: degrease",
"96","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Solvent and other product use: chemicals",
"97","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Solvent and other product use: other",
"98","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Enteric fermentation",
"99","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Manure management",
"100","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Rice cultivation",
"101","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Direct soil emissions",
"102","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Manure in pasture/range/paddock",
"103","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Indirect N2O from agriculture",
"104","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other direct soil emissions",
"105","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Savanna burning",
"106","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Agricultural waste burning",
"107","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Forest fires",
"108","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Grassland fires",
"109","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Decay of wetlands/peatlands",
"110","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other vegetation fires",
"111","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Forest Fires-Post burn decay",
"112","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Solid waste disposal on land",
"113","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Wastewater handling",
"114","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Waste incineration",
"115","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other waste handling",
"116","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Fossil fuel fires",
"117","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Indirect N2O from non-agricultural NOx",
"118","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Indirect N2O from non-agricultural NH3",
"119","I-GHG-CO2b","I-GHG-CO2b emissions (Gg)","Other sources",
"120","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Public electricity and heat production",
"121","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other Energy Industries",
"122","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Manufacturing Industries and Construction",
"123","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Domestic aviation",
"124","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Road transportation",
"125","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Rail transportation",
"126","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Inland navigation",
"127","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other transportation",
"128","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Residential and other sectors",
