Index,Country,CountryA3, Entity,Sector
1,"Afghanistan",AFG,Industries,"Agriculture"
2,"Afghanistan",AFG,Industries,"Fishing"
3,"Afghanistan",AFG,Industries,"Mining and Quarrying"
4,"Afghanistan",AFG,Industries,"Food & Beverages"
5,"Afghanistan",AFG,Industries,"Textiles and Wearing Apparel"
6,"Afghanistan",AFG,Industries,"Wood and Paper"
7,"Afghanistan",AFG,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
8,"Afghanistan",AFG,Industries,"Metal Products"
9,"Afghanistan",AFG,Industries,"Electrical and Machinery"
10,"Afghanistan",AFG,Industries,"Transport Equipment"
11,"Afghanistan",AFG,Industries,"Other Manufacturing"
12,"Afghanistan",AFG,Industries,"Recycling"
13,"Afghanistan",AFG,Industries,"Electricity, Gas and Water"
14,"Afghanistan",AFG,Industries,"Construction"
15,"Afghanistan",AFG,Industries,"Maintenance and Repair"
16,"Afghanistan",AFG,Industries,"Wholesale Trade"
17,"Afghanistan",AFG,Industries,"Retail Trade"
18,"Afghanistan",AFG,Industries,"Hotels and Restraurants"
19,"Afghanistan",AFG,Industries,"Transport"
20,"Afghanistan",AFG,Industries,"Post and Telecommunications"
21,"Afghanistan",AFG,Industries,"Finacial Intermediation and Business Activities"
22,"Afghanistan",AFG,Industries,"Public Administration"
23,"Afghanistan",AFG,Industries,"Education, Health and Other Services"
24,"Afghanistan",AFG,Industries,"Private Households"
25,"Afghanistan",AFG,Industries,"Others"
26,"Afghanistan",AFG,Industries,"Re-export & Re-import"
27,"Albania",ALB,Industries,"Agriculture"
28,"Albania",ALB,Industries,"Fishing"
29,"Albania",ALB,Industries,"Mining and Quarrying"
30,"Albania",ALB,Industries,"Food & Beverages"
31,"Albania",ALB,Industries,"Textiles and Wearing Apparel"
32,"Albania",ALB,Industries,"Wood and Paper"
33,"Albania",ALB,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
34,"Albania",ALB,Industries,"Metal Products"
35,"Albania",ALB,Industries,"Electrical and Machinery"
36,"Albania",ALB,Industries,"Transport Equipment"
37,"Albania",ALB,Industries,"Other Manufacturing"
38,"Albania",ALB,Industries,"Recycling"
39,"Albania",ALB,Industries,"Electricity, Gas and Water"
40,"Albania",ALB,Industries,"Construction"
41,"Albania",ALB,Industries,"Maintenance and Repair"
42,"Albania",ALB,Industries,"Wholesale Trade"
43,"Albania",ALB,Industries,"Retail Trade"
