iso3,fd_start_id,trade_id
USA,1081,13958
USA,1081,13959
CHN,235,2602
CHN,235,2603
CHN,235,2604
IND,469,4884
IND,469,4885
GBR,1069,13037
GBR,1069,13038
GBR,1069,13039
GBR,1069,13040
GBR,1069,13041
GBR,1069,13042
GBR,1069,13043
GBR,1069,13044
GBR,1069,13045
GBR,1069,13046
GBR,1069,13047
GBR,1069,13048
GBR,1069,13049
GBR,1069,13050
GBR,1069,13051
GBR,1069,13052
GBR,1069,13053
GBR,1069,13054
GBR,1069,13055
GBR,1069,13056
GBR,1069,13057
GBR,1069,13058
JPN,517,6141
JPN,517,6142
ESP,943,10853
ESP,943,10854
ESP,943,10855
ESP,943,10856
ESP,943,10857
ESP,943,10858
AUS,55,1124
AUS,55,1125
AUS,55,1132
AUS,55,1133
CAN,199,2229
DEU,397,4097
DEU,397,4101
DEU,397,4102
DEU,397,4103
KOR,829,9471
KOR,829,9472
TUR,1033,11910
TUR,1033,11911
TUR,1033,11912
AUT,61,1315
AUT,61,1316
AUT,61,1317
FRA,367,3837
FRA,367,3838
FRA,367,3839
ITA,505,5788
ITA,505,5789
ITA,505,5790
MEX,661,7763
BEL,103,1593
BEL,103,1594
BEL,103,1595
CHE,979,11202
CZE,277,2970
CZE,277,2971
CZE,277,2972
DNK,301,3145
DNK,301,3147
DNK,301,3148
DNK,301,3149
DNK,301,3150
DNK,301,3151
DNK,301,3152
DNK,301,3153
DNK,301,3154
DNK,301,3155
EST,343,3541
EST,343,3542
EST,343,3543
FIN,361,3715
FIN,361,3716
FIN,361,3717
GRC,409,4250
GRC,409,4251
GRC,409,4252
HUN,457,4609
HUN,457,4610
HUN,457,4611
IRL,493,5340
IRL,493,5341
IRL,493,5342
ISL,463,4651
ISL,463,4652
ISL,463,4653
ISR,499,5660
LUX,601,7138
LUX,601,7139
LUX,601,7140
LVA,559,6844
LVA,559,6845
LVA,559,6846
NLD,715,8112
NLD,715,8113
NLD,715,8114
NOR,757,8732
NOR,757,8733
NOR,757,8734
NZL,733,8500
NZL,733,8501
NZL,733,8503
NZL,733,8504
NZL,733,8505
NZL,733,8506
POL,811,9234
POL,811,9235
POL,811,9236
PRT,817,9356
PRT,817,9357
PRT,817,9358
SVK,913,10321
SVK,913,10322
SVK,913,10323
SVN,919,10443
SVN,919,10444
SVN,919,10445
SWE,973,11107
SWE,973,11108
SWE,973,11109
