iso3,fd_start_id,transport_ids
USA,1081,13960
USA,1081,13961
USA,1081,13962
USA,1081,13963
USA,1081,13965
USA,1081,13966
USA,1081,13967
USA,1081,13968
CHN,235,2591
CHN,235,2592
CHN,235,2593
CHN,235,2594
CHN,235,2596
CHN,235,2597
IND,469,4880
IND,469,4881
IND,469,4882
GBR,1069,13065
GBR,1069,13071
GBR,1069,13072
GBR,1069,13074
GBR,1069,13076
GBR,1069,13078
GBR,1069,13080
GBR,1069,13081
GBR,1069,13082
GBR,1069,13083
GBR,1069,13084
GBR,1069,13086
JPN,517,6151
JPN,517,6154
JPN,517,6156
JPN,517,6157
JPN,517,6158
JPN,517,6159
JPN,517,6160
JPN,517,6161
JPN,517,6162
JPN,517,6163
JPN,517,6164
JPN,517,6165
JPN,517,6166
JPN,517,6167
JPN,517,6168
JPN,517,6169
JPN,517,6170
ESP,943,10859
ESP,943,10860
ESP,943,10861
ESP,943,10862
ESP,943,10863
ESP,943,10864
ESP,943,10865
ESP,943,10866
ESP,943,10867
ESP,943,10868
AUS,55,1134
AUS,55,1137
AUS,55,1139
AUS,55,1140
AUS,55,1141
AUS,55,1142
AUS,55,1143
AUS,55,1144
AUS,55,1145
AUS,55,1146
AUS,55,1147
AUS,55,1148
AUS,55,1149
AUS,55,1150
AUS,55,1151
CAN,199,2231
CAN,199,2232
CAN,199,2233
CAN,199,2234
DEU,397,4105
DEU,397,4106
DEU,397,4107
DEU,397,4109
KOR,829,9473
TUR,1033,11914
TUR,1033,11915
AUT,61,1319
AUT,61,1320
FRA,367,3841
FRA,367,3842
ITA,505,5792
ITA,505,5793
MEX,661,7764
MEX,661,7765
MEX,661,7766
MEX,661,7767
MEX,661,7768
MEX,661,7769
MEX,661,7770
MEX,661,7771
BEL,103,1597
BEL,103,1598
CHE,979,11204
CHE,979,11205
CZE,277,2974
CZE,277,2975
DNK,301,3159
DNK,301,3160
DNK,301,3161
DNK,301,3162
DNK,301,3163
EST,343,3545
EST,343,3546
FIN,361,3719
FIN,361,3720
GRC,409,4254
GRC,409,4255
HUN,457,4613
HUN,457,4614
IRL,493,5344
IRL,493,5345
ISL,463,4654
ISR,499,5665
ISR,499,5668
LUX,601,7141
LVA,559,6848
LVA,559,6849
NLD,715,8116
NLD,715,8117
NOR,757,8736
NOR,757,8737
NZL,733,8508
NZL,733,8509
NZL,733,8510
NZL,733,8511
POL,811,9238
POL,811,9239
PRT,817,9360
PRT,817,9361
SVK,913,10325
SVK,913,10326
SVN,919,10447
SVN,919,10448
SWE,973,11111
SWE,973,11112
