LOCATION,Sector
AFG,Agriculture
AFG,Fishing
AFG,Mining and Quarrying
AFG,Food & Beverages
AFG,Textiles and Wearing Apparel
AFG,Wood and Paper
AFG,"Petroleum, Chemical and non-Metallic Mineral Products"
AFG,Metal Products
AFG,Electrical and Machinery
AFG,Transport Equipment
AFG,Other Manufacturing
AFG,Recycling
AFG,"Electricity, Gas and Water"
AFG,Construction
AFG,Maintenance and Repair
AFG,Wholesale Trade
AFG,Retail Trade
AFG,Hotels and Restraurants
AFG,Transport
AFG,Post and Telecommunications
AFG,Finacial Intermediation and Business Activities
AFG,Public Administration
AFG,"Education, Health and Other Services"
AFG,Private Households
AFG,Others
AFG,Re-export & Re-import
ALB,Agriculture
ALB,Fishing
ALB,Mining and Quarrying
ALB,Food & Beverages
ALB,Textiles and Wearing Apparel
ALB,Wood and Paper
ALB,"Petroleum, Chemical and non-Metallic Mineral Products"
ALB,Metal Products
ALB,Electrical and Machinery
ALB,Transport Equipment
ALB,Other Manufacturing
ALB,Recycling
ALB,"Electricity, Gas and Water"
ALB,Construction
ALB,Maintenance and Repair
ALB,Wholesale Trade
ALB,Retail Trade
ALB,Hotels and Restraurants
ALB,Transport
ALB,Post and Telecommunications
ALB,Finacial Intermediation and Business Activities
ALB,Public Administration
ALB,"Education, Health and Other Services"
ALB,Private Households
ALB,Others
ALB,Re-export & Re-import
DZA,Agriculture
DZA,Fishing
DZA,Mining and Quarrying
DZA,Food & Beverages
DZA,Textiles and Wearing Apparel
DZA,Wood and Paper
DZA,"Petroleum, Chemical and non-Metallic Mineral Products"
DZA,Metal Products
DZA,Electrical and Machinery
DZA,Transport Equipment
DZA,Other Manufacturing
DZA,Recycling
DZA,"Electricity, Gas and Water"
DZA,Construction
DZA,Maintenance and Repair
DZA,Wholesale Trade
DZA,Retail Trade
DZA,Hotels and Restraurants
DZA,Transport
DZA,Post and Telecommunications
DZA,Finacial Intermediation and Business Activities
DZA,Public Administration
DZA,"Education, Health and Other Services"
DZA,Private Households
DZA,Others
DZA,Re-export & Re-import
AND,Agriculture
AND,Fishing
AND,Mining and Quarrying
AND,Food & Beverages
AND,Textiles and Wearing Apparel
AND,Wood and Paper
AND,"Petroleum, Chemical and non-Metallic Mineral Products"
AND,Metal Products
AND,Electrical and Machinery
AND,Transport Equipment
AND,Other Manufacturing
AND,Recycling
AND,"Electricity, Gas and Water"
AND,Construction
AND,Maintenance and Repair
AND,Wholesale Trade
AND,Retail Trade
AND,Hotels and Restraurants
AND,Transport
AND,Post and Telecommunications
AND,Finacial Intermediation and Business Activities
