Index,Country,CountryA3,Sub_sector,G19,EU,OECD, Entity,Sector,,,
1,Afghanistan,AFG,Food and catering,0,0,0,Industries,Agriculture,,,
2,Afghanistan,AFG,Food and catering,0,0,0,Industries,Fishing,,,
3,Afghanistan,AFG,Mining,0,0,0,Industries,Mining and Quarrying,,,
4,Afghanistan,AFG,Food and catering,0,0,0,Industries,Food & Beverages,,,
5,Afghanistan,AFG,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
6,Afghanistan,AFG,Wood and paper,0,0,0,Industries,Wood and Paper,,,
7,Afghanistan,AFG,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
8,Afghanistan,AFG,Metals,0,0,0,Industries,Metal Products,,,
9,Afghanistan,AFG,Machinery,0,0,0,Industries,Electrical and Machinery,,,
10,Afghanistan,AFG,Machinery,0,0,0,Industries,Transport Equipment,,,
11,Afghanistan,AFG,Other procurement,0,0,0,Industries,Other Manufacturing,,,
12,Afghanistan,AFG,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
13,Afghanistan,AFG,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
14,Afghanistan,AFG,Construction,0,0,0,Industries,Construction,,,
15,Afghanistan,AFG,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
16,Afghanistan,AFG,Trade,0,0,0,Industries,Wholesale Trade,,,
17,Afghanistan,AFG,Trade,0,0,0,Industries,Retail Trade,,,
18,Afghanistan,AFG,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
19,Afghanistan,AFG,Freight transport,0,0,0,Industries,Transport,,,
20,Afghanistan,AFG,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
21,Afghanistan,AFG,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
22,Afghanistan,AFG,Services,0,0,0,Industries,Public Administration,,,
23,Afghanistan,AFG,Services,0,0,0,Industries,"Education, Health and Other Services",,,
24,Afghanistan,AFG,Other procurement,0,0,0,Industries,Private Households,,,
25,Afghanistan,AFG,Other procurement,0,0,0,Industries,Others,,,
26,Afghanistan,AFG,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
27,Albania,ALB,Food and catering,0,0,0,Industries,Agriculture,,,
28,Albania,ALB,Food and catering,0,0,0,Industries,Fishing,,,
29,Albania,ALB,Mining,0,0,0,Industries,Mining and Quarrying,,,
30,Albania,ALB,Food and catering,0,0,0,Industries,Food & Beverages,,,
31,Albania,ALB,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
32,Albania,ALB,Wood and paper,0,0,0,Industries,Wood and Paper,,,
33,Albania,ALB,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
34,Albania,ALB,Metals,0,0,0,Industries,Metal Products,,,
35,Albania,ALB,Machinery,0,0,0,Industries,Electrical and Machinery,,,
36,Albania,ALB,Machinery,0,0,0,Industries,Transport Equipment,,,
37,Albania,ALB,Other procurement,0,0,0,Industries,Other Manufacturing,,,
38,Albania,ALB,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
39,Albania,ALB,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
40,Albania,ALB,Construction,0,0,0,Industries,Construction,,,
41,Albania,ALB,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
42,Albania,ALB,Trade,0,0,0,Industries,Wholesale Trade,,,
43,Albania,ALB,Trade,0,0,0,Industries,Retail Trade,,,
44,Albania,ALB,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
45,Albania,ALB,Freight transport,0,0,0,Industries,Transport,,,
46,Albania,ALB,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
47,Albania,ALB,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
48,Albania,ALB,Services,0,0,0,Industries,Public Administration,,,
49,Albania,ALB,Services,0,0,0,Industries,"Education, Health and Other Services",,,
50,Albania,ALB,Other procurement,0,0,0,Industries,Private Households,,,
51,Albania,ALB,Other procurement,0,0,0,Industries,Others,,,
52,Albania,ALB,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
53,Algeria,DZA,Food and catering,0,0,0,Industries,Agriculture,,,
54,Algeria,DZA,Food and catering,0,0,0,Industries,Fishing,,,
55,Algeria,DZA,Mining,0,0,0,Industries,Mining and Quarrying,,,
56,Algeria,DZA,Food and catering,0,0,0,Industries,Food & Beverages,,,
57,Algeria,DZA,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
58,Algeria,DZA,Wood and paper,0,0,0,Industries,Wood and Paper,,,
59,Algeria,DZA,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
60,Algeria,DZA,Metals,0,0,0,Industries,Metal Products,,,
61,Algeria,DZA,Machinery,0,0,0,Industries,Electrical and Machinery,,,
62,Algeria,DZA,Machinery,0,0,0,Industries,Transport Equipment,,,
63,Algeria,DZA,Other procurement,0,0,0,Industries,Other Manufacturing,,,
64,Algeria,DZA,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
65,Algeria,DZA,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
66,Algeria,DZA,Construction,0,0,0,Industries,Construction,,,
67,Algeria,DZA,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
68,Algeria,DZA,Trade,0,0,0,Industries,Wholesale Trade,,,
69,Algeria,DZA,Trade,0,0,0,Industries,Retail Trade,,,
70,Algeria,DZA,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
71,Algeria,DZA,Freight transport,0,0,0,Industries,Transport,,,
72,Algeria,DZA,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
73,Algeria,DZA,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
74,Algeria,DZA,Services,0,0,0,Industries,Public Administration,,,
75,Algeria,DZA,Services,0,0,0,Industries,"Education, Health and Other Services",,,
76,Algeria,DZA,Other procurement,0,0,0,Industries,Private Households,,,
77,Algeria,DZA,Other procurement,0,0,0,Industries,Others,,,
78,Algeria,DZA,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
79,Andorra,AND,Food and catering,0,0,0,Industries,Agriculture,,,
80,Andorra,AND,Food and catering,0,0,0,Industries,Fishing,,,
81,Andorra,AND,Mining,0,0,0,Industries,Mining and Quarrying,,,
82,Andorra,AND,Food and catering,0,0,0,Industries,Food & Beverages,,,
83,Andorra,AND,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
84,Andorra,AND,Wood and paper,0,0,0,Industries,Wood and Paper,,,
85,Andorra,AND,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
86,Andorra,AND,Metals,0,0,0,Industries,Metal Products,,,
87,Andorra,AND,Machinery,0,0,0,Industries,Electrical and Machinery,,,
88,Andorra,AND,Machinery,0,0,0,Industries,Transport Equipment,,,
89,Andorra,AND,Other procurement,0,0,0,Industries,Other Manufacturing,,,
90,Andorra,AND,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
91,Andorra,AND,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
92,Andorra,AND,Construction,0,0,0,Industries,Construction,,,
93,Andorra,AND,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
94,Andorra,AND,Trade,0,0,0,Industries,Wholesale Trade,,,
95,Andorra,AND,Trade,0,0,0,Industries,Retail Trade,,,
96,Andorra,AND,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
97,Andorra,AND,Freight transport,0,0,0,Industries,Transport,,,
98,Andorra,AND,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
99,Andorra,AND,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
100,Andorra,AND,Services,0,0,0,Industries,Public Administration,,,
101,Andorra,AND,Services,0,0,0,Industries,"Education, Health and Other Services",,,
102,Andorra,AND,Other procurement,0,0,0,Industries,Private Households,,,
103,Andorra,AND,Other procurement,0,0,0,Industries,Others,,,
104,Andorra,AND,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
105,Angola,AGO,Food and catering,0,0,0,Industries,Agriculture,,,
106,Angola,AGO,Food and catering,0,0,0,Industries,Fishing,,,
107,Angola,AGO,Mining,0,0,0,Industries,Mining and Quarrying,,,
108,Angola,AGO,Food and catering,0,0,0,Industries,Food & Beverages,,,
109,Angola,AGO,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
110,Angola,AGO,Wood and paper,0,0,0,Industries,Wood and Paper,,,
111,Angola,AGO,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
112,Angola,AGO,Metals,0,0,0,Industries,Metal Products,,,
113,Angola,AGO,Machinery,0,0,0,Industries,Electrical and Machinery,,,
114,Angola,AGO,Machinery,0,0,0,Industries,Transport Equipment,,,
115,Angola,AGO,Other procurement,0,0,0,Industries,Other Manufacturing,,,
116,Angola,AGO,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
117,Angola,AGO,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
118,Angola,AGO,Construction,0,0,0,Industries,Construction,,,
